Area Code,Area,Months Code,Months,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
10,Australia,7001,January,1.334,0.13,0.882,0.595,0.678,1.185,0.302,1.322,0.662,0.877,1.078,0.284,1.978,1.237,0.405,0.883,1.065,1.494,2.727
10,Australia,7002,February,0.573,-0.4,1.025,0.957,0.787,0.661,1.792,-0.351,0.688,1.069,0.068,-0.029,1.045,0.382,1.93,1.29,0.739,0.999,1.456
10,Australia,7003,March,-0.451,0.384,-0.362,0.372,1.032,0.686,0.65,0.557,0.541,0.425,-0.679,-0.765,0.877,0.913,0.848,1.763,1.682,1.066,1.899
10,Australia,7004,April,0.325,1.769,0.911,1.034,2.471,-0.486,0.981,-0.346,0.741,1.491,-0.331,0.289,1.208,1.255,-0.399,2.122,0.236,2.332,1.292
10,Australia,7005,May,-0.05,1.667,1.345,0.378,1.548,-0.565,2.127,0.659,0.386,0.865,-0.902,-0.057,1.437,1.956,0.28,2.313,1.048,0.644,0.906
10,Australia,7006,June,0.902,0.411,0.831,0.688,1.023,-0.849,-1.278,1.122,0.708,0.389,-0.509,-0.473,0.864,0.555,1.32,1.283,0.526,0.33,0.275
10,Australia,7007,July,0.643,0.535,0.988,0.455,1.256,0.162,0.378,0.415,0.896,1.167,0.726,-0.12,1.608,0.462,0.583,1.138,1.761,1.237,1.47
10,Australia,7008,August,0.298,0.421,0.74,0.112,0.614,1.205,1.188,-0.538,2.546,0.28,1.244,0.493,1.764,0.475,0.869,0.706,1.198,0.191,0.434
10,Australia,7009,September,1.198,1.257,1.385,0.011,1.324,1.425,1.346,1.541,1.409,0.461,0.422,1.31,2.781,1.43,0.591,0.34,1.474,0.859,1.252
10,Australia,7010,October,-0.748,1.052,-0.26,1.784,1.352,1.53,1.467,1.751,0.605,-0.068,0.698,1.035,1.656,2.068,2.98,-0.157,1.668,1.955,2.119
10,Australia,7011,November,-0.287,1.679,0.886,0.532,0.965,1.647,0.979,0.202,2.181,-0.32,0.617,1.511,0.811,1.983,2.118,0.779,1.03,0.929,1.202
10,Australia,7012,December,-0.434,1.117,1.14,0.675,1.118,0.436,0.307,0.261,1.094,-0.318,-0.197,1.366,0.948,1.089,1.246,0.981,1.306,2.051,3.107
10,Australia,7020,Meteorological year,0.32,0.706,0.79,0.671,1.144,0.643,0.864,0.553,0.968,0.644,0.176,0.273,1.45,1.139,1.051,1.142,1.117,1.112,1.423
33,Canada,7001,January,4.648,2.402,3.173,-1.125,0.168,5.155,4.176,2.284,1.412,4.591,3.205,2.902,1.916,2.887,1.837,5.404,5.253,2.68,1.633
33,Canada,7002,February,0.294,0.85,-1.359,2.405,2.296,3.029,0.321,-0.66,1.29,5.768,0.625,4.382,2.487,-0.963,-1.907,2.735,2.628,-0.33,-1.504
33,Canada,7003,March,2.777,-1.846,-0.598,0.255,2.464,3.546,0.007,-0.841,-0.816,5.847,0.231,2.455,2.169,-1.703,1.468,2.972,0.56,2.425,3.181
33,Canada,7004,April,1.033,-1.621,0.29,0.282,3.035,3.138,1.396,0.781,1.092,5.304,-0.77,1.573,-0.77,-0.502,0.901,0.423,0.801,-1.125,0.805
33,Canada,7005,May,1.486,-1.564,1.208,-1.498,1.136,2.347,0.03,1.211,-1.115,0.966,0.59,1.661,0.431,1.18,1.458,2.183,1.474,0.645,1.026
33,Canada,7006,June,0.631,0.767,0.555,-0.068,1.076,2.109,0.838,1.001,0.391,0.838,0.732,1.945,1.62,1.248,1.45,1.491,1.027,0.559,1.066
33,Canada,7007,July,1.049,0.699,1.087,0.51,0.4,1.223,1.817,1.01,0.36,1.484,1.339,2.051,0.531,1.322,0.786,1.227,0.814,1.251,0.92
33,Canada,7008,August,1.383,0.411,1.239,-0.384,0.637,0.963,0.242,1.101,0.646,1.549,1.454,1.759,1.222,1.216,1.079,1.591,1.32,0.62,0.784
33,Canada,7009,September,1.951,1.381,1.636,0.448,1.095,1.824,0.316,0.613,2.482,0.979,2.263,2.509,1.786,0.566,1.583,1.696,1.904,-0.943,1.65
33,Canada,7010,October,0.424,-0.383,2.047,0.355,1.865,1.521,1.537,1.45,-0.732,2.414,2.066,0.528,1.959,1.819,0.979,0.528,1.476,-0.912,1.615
33,Canada,7011,November,2.212,1.346,0.855,1.232,2.35,-0.315,0.217,2.19,3.435,3.261,1.611,-0.074,-0.336,-1.036,2.208,4.573,-0.255,-0.635,1.218
33,Canada,7012,December,4.236,4.942,3.715,-0.944,3.699,5.078,0.096,-1.919,2.006,3.981,3.997,1.219,-2.759,2.533,3.312,0.408,1.789,3.383,2.343
33,Canada,7020,Meteorological year,1.432,0.556,1.256,0.51,1.298,2.353,1.332,0.853,0.544,2.917,1.444,2.14,1.186,0.273,1.198,2.345,1.451,0.502,1.315
100,India,7001,January,0.216,0.475,-0.017,0.246,0.453,0.738,0.824,0.276,1.584,0.209,-0.435,-0.252,0.009,0.19,-0.073,1.1,0.786,0.527,0.122
100,India,7002,February,0.999,0.562,0.895,0.468,0.599,2.533,0.51,-0.817,1.657,0.982,0.354,0.023,0.496,-0.459,0.97,1.777,1.286,1.29,0.392
100,India,7003,March,0.354,0.849,0.183,1.866,0.747,0.045,-0.018,0.726,1.062,2.192,0.57,0.269,0.56,-0.361,-0.186,1.607,0.592,1.395,0.141
100,India,7004,April,-0.253,0.868,0.866,0.923,-0.187,0.189,0.88,-0.058,0.85,1.99,-0.491,0.203,0.085,0.261,-0.505,1.67,1.198,0.654,1.034
100,India,7005,May,0.224,0.846,0.598,-0.096,0.039,0.128,0.201,-0.095,0.388,1.052,0.253,0.65,0.775,-0.224,0.64,0.581,0.842,0.61,0.843
100,India,7006,June,-0.973,0.239,0.889,-0.304,1.353,-0.023,0.143,-1.068,1.188,0.81,-0.427,1.105,-0.61,1.424,0.04,0.663,0.173,0.429,1.577
100,India,7007,July,0.078,1.574,0.28,0.65,0.247,0.516,0.492,0.27,0.705,0.558,0.442,0.666,-0.014,0.935,0.844,0.275,0.363,0.428,0.954
100,India,7008,August,0.501,0.37,0.523,0.334,0.683,0.25,0.542,0.106,1.119,0.642,0.349,0.317,0.166,0.833,0.903,0.72,0.838,0.46,0.751
100,India,7009,September,1.053,0.45,0.276,0.7,0.491,0.512,0.496,0.411,1.057,0.301,0.287,0.324,0.778,0.385,1.255,0.555,1.023,0.519,0.445
100,India,7010,October,0.768,0.811,0.29,-0.296,0.22,0.86,0.184,0.723,0.381,0.916,0.707,0.105,0.391,0.696,1.368,0.816,1.26,0.803,0.267
100,India,7011,November,1.217,0.864,0.817,0.687,0.115,1.041,0.836,0.905,0.674,1.49,1.209,0.226,0.222,0.976,1.617,0.73,0.694,1.122,1.389
100,India,7012,December,0.917,1.398,0.517,0.991,0.145,1.072,0.623,1.754,1.059,0.009,0.729,0.827,0.375,0.035,1.231,1.342,0.987,0.308,0.181
100,India,7020,Meteorological year,0.398,0.735,0.583,0.475,0.479,0.578,0.513,0.167,1.035,1.017,0.235,0.364,0.307,0.419,0.576,0.977,0.866,0.769,0.685
150,Netherlands,7001,January,1.123,2.307,0.45,1.319,2.984,-0.778,4.948,4.214,-1.19,-2.831,1.462,2.731,0.164,3.363,2.149,2.195,-0.365,3.647,1.328
150,Netherlands,7002,February,2.03,4.623,-0.619,2.386,-0.236,0.123,3.685,3.143,0.866,-0.859,1.839,-1.695,-0.726,4.254,1.103,2.516,2.811,-1.461,4.436
150,Netherlands,7003,March,0.359,2.206,2.568,1.014,1.142,-1.321,2.947,0.964,1.152,1.146,1.439,3.378,-2.802,3.693,1.491,0.657,3.968,-0.417,3.155
150,Netherlands,7004,April,0.143,1.284,1.64,2.312,2.21,0.735,4.541,0.615,4.288,1.497,4.712,0.544,0.372,3.935,0.993,0.698,0.45,4.216,2.569
150,Netherlands,7005,May,2.032,1.571,1.562,0.095,0.685,1.75,1.932,3.05,1.641,-1.49,2.041,2.16,-0.358,1.144,0.226,2.223,2.693,4.182,-0.415
150,Netherlands,7006,June,-0.343,1.691,3.07,0.454,1.253,1.272,2.271,1.343,0.189,1.097,1.167,-0.182,0.131,0.991,0.27,1.773,2.765,2.307,3.517
150,Netherlands,7007,July,1.976,0.986,2.373,0.262,1.4,5.282,0.515,1.492,1.559,3.488,-0.461,0.616,2.422,3.173,2.004,1.859,1.61,3.962,2.392
150,Netherlands,7008,August,2.198,2.552,3.364,2.486,-0.347,0.002,0.45,1.072,2.082,0.395,0.849,2.102,1.629,-0.108,2.377,1.488,1.023,2.747,2.685
150,Netherlands,7009,September,-0.918,0.594,0.702,1.095,1.888,3.885,-0.258,-0.556,1.232,-0.543,1.802,0.06,0.316,1.921,-0.399,3.853,0.026,1.372,0.767
150,Netherlands,7010,October,3.877,-0.696,-2.648,1.071,3.098,3.448,-0.313,-0.095,-0.193,-0.013,1.169,0.172,1.913,3.158,-0.164,-0.27,2.61,2.042,1.634
150,Netherlands,7011,November,0.695,1.739,2.19,0.361,0.773,3.073,0.584,0.971,3.468,0.021,1.52,0.955,0.732,2.426,3.783,-0.073,1.231,1.307,0.7
150,Netherlands,7012,December,-0.539,-0.235,1.035,0.089,0.508,3.427,0.838,-0.512,-0.811,-4.797,2.851,1.265,2.751,1.52,6.179,1.842,1.702,2.937,2.835
150,Netherlands,7020,Meteorological year,1.27,1.527,1.201,1.157,1.245,1.498,2.061,1.421,1.215,0.091,1.062,1.141,0.421,2.558,1.279,1.925,1.722,2.134,2.142
202,South Africa,7001,January,0.091,0.008,0.994,0.437,0.878,0.797,1.271,0.196,0.514,0.558,0.283,1.622,0.879,1.456,1.356,1.979,0.336,1.285,1.039
202,South Africa,7002,February,0.23,0.467,1.764,1.023,1.431,0.928,1.456,0.869,0.479,1.186,1.027,0.919,1.124,1.35,0.378,1.902,1.012,1.021,1.195
202,South Africa,7003,March,0.961,1.154,0.768,0.07,0.268,-0.834,0.907,0.312,0.443,1.627,1.725,1.15,1.175,0.213,1.091,1.231,1.114,0.648,1.879
202,South Africa,7004,April,0.56,1.679,2.166,1.049,0.231,0.413,1.551,0.037,1.459,1.128,0.299,0.076,0.07,0.507,1.227,2.117,1.554,1.674,1.429
202,South Africa,7005,May,0.935,0.553,1.032,2.081,1.147,-1.229,0.639,1.79,0.929,1.771,0.917,1.318,1.123,1.634,2.321,1.535,1.751,1.406,2.812
202,South Africa,7006,June,1.311,-0.265,0.275,0.99,1.07,0.712,0.59,1.044,1.098,0.576,0.031,0.481,0.975,0.527,0.478,1.862,1.574,1.382,1.904
202,South Africa,7007,July,-0.015,-0.425,0.455,-0.388,1.572,1.407,0.281,0.905,0.101,1.665,-0.531,0.319,1.093,0.207,0.895,0.544,1.486,1.207,1.911
202,South Africa,7008,August,0.542,0.979,-0.77,1.574,1.136,-0.163,0.658,1.499,1.015,1.537,0.493,0.373,0.069,1.112,2.43,1.887,0.502,0.467,2.038
202,South Africa,7009,September,-0.399,0.786,0.113,-0.204,1.75,0.94,1.905,-0.652,0.804,1.896,0.971,-0.271,-0.132,1.701,1.58,1.031,2.006,0.461,1.86
202,South Africa,7010,October,1.328,0.962,1.098,0.938,1.168,1.469,0.235,1.235,1.159,0.963,0.761,0.388,0.504,0.973,3.188,1.2,-0.08,1.766,1.835
202,South Africa,7011,November,0.251,-0.322,1.071,2.729,0.778,0.763,-0.375,0.978,0.132,0.782,-0.277,0.893,0.936,-0.194,0.571,1.525,0.066,0.831,1.9
202,South Africa,7012,December,0.008,0.776,0.595,1.534,-0.06,0.794,0.083,1.455,0.65,0.426,0.463,0.81,0.18,0.657,2.847,2.181,0.418,1.805,0.384
202,South Africa,7020,Meteorological year,0.517,0.465,0.812,0.908,1.08,0.428,0.826,0.691,0.799,1.195,0.51,0.644,0.719,0.805,1.348,1.638,1.125,1.047,1.8
231,United States of America,7001,January,2.046,2.79,2.166,0.104,2.161,3.539,1.164,0.206,0.418,0.512,0.616,1.548,2.06,1.913,2.033,2.675,2.128,1.6,1.866
231,United States of America,7002,February,1.181,1.593,0.66,0.485,2.17,1.246,-0.414,0.161,1.349,-0.215,-0.048,2.438,0.662,-0.347,0.389,3.788,3.528,1.765,0.375
231,United States of America,7003,March,0.491,0.063,1.203,2.903,1.441,0.611,2.007,0.678,0.678,1.211,1.251,3.688,0.162,0.22,2.532,3.778,1.844,1.632,1.404
231,United States of America,7004,April,1.21,1.066,0.877,1.305,0.744,1.696,0.459,-0.132,0.119,1.414,0.546,2.043,-1.015,0.76,1.535,1.998,1.978,-0.414,1.411
231,United States of America,7005,May,0.721,-0.024,0.503,1.328,0.308,1.152,1.088,-0.181,0.943,0.323,-0.124,1.414,0.141,0.919,1.044,0.787,0.521,2.538,0.307
231,United States of America,7006,June,0.559,1.166,0.077,0.455,0.71,1.051,0.859,0.555,0.149,1.001,0.709,1.057,1.369,0.444,1.632,1.773,1.1,1.48,0.677
231,United States of America,7007,July,0.312,1.078,0.916,0.18,0.933,1.296,0.764,0.092,-0.056,0.501,1.089,1.335,0.536,-0.118,0.371,1.078,1.259,1.159,1.045
231,United States of America,7008,August,1.11,0.394,1.267,-0.215,0.869,0.51,1.541,0.016,-0.041,1.127,1.292,0.87,0.631,0.37,0.445,1.093,0.1,0.738,1.018
231,United States of America,7009,September,0.582,1.18,0.021,0.185,1.425,-0.243,1.068,0.311,0.838,1.055,0.83,0.695,0.882,0.827,1.561,1.295,0.918,1.638,2.021
231,United States of America,7010,October,-0.245,-0.342,1.643,0.93,0.75,-0.052,1.196,-0.599,-1.04,1.085,0.716,-0.022,0.565,1.297,1.95,2.036,1.23,0.67,-0.269
231,United States of America,7011,November,2.262,1.198,0.57,1.427,0.785,0.492,1.704,0.686,1.381,0.788,0.128,0.41,0.098,-0.389,1.784,2.895,1.797,-0.03,0.514
231,United States of America,7012,December,1.195,1.932,1.169,1.424,0.858,2.165,0.637,-0.105,-0.647,-0.643,1.775,1.07,-0.344,2.816,3.172,0.491,2.149,1.766,1.988
231,United States of America,7020,Meteorological year,0.776,0.946,0.986,0.855,1.143,1.013,1.134,0.203,0.386,0.679,0.53,1.437,0.597,0.463,1.508,2.197,1.408,1.244,1.011
